components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,318.2,101.325,947.665,2.8369999999999997,0.007071067811859044,0.007071067811865475,0.01,0.01,0.007071067811865475,2,,0.02837,0.02837,0.02837,0.02837,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,328.2,101.325,935.14,2.839,0.028284271247436175,0.007071067811865475,0.01,0.01,0.028284271247436175,2,,0.02839,0.02839,0.02839,0.02839,1
diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,313.2,101.325,992.46,13.62,,,,,,1,,0.1362,0.1362,0.1362,0.1362,1
diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,323.2,101.325,984.48375,13.36,0.443910182356721,0.2,0.2,0.2,0.443910182356721,4,,0.1336,0.1336,0.1336,0.1336,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,288.2,101.325,1076.4383333333335,3.1310000000000002,0.5231984964301026,4.9999999998724995e-08,0.017500012500000002,0.01,0.5231984964301026,6,,0.031310000000000004,0.031310000000000004,0.031310000000000004,0.031310000000000004,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,298.2,101.325,1063.5855312499998,3.134,1.8583262497755209,4.9999999988984467e-08,2.832222225,0.0125,1.8583262497755209,32,,0.03134,0.03134,0.03134,0.03134,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,308.2,101.325,1050.0045555555555,3.141,0.1107667719931635,4.999999999594097e-08,0.02714286428571429,0.01,0.1107667719931635,9,,0.03141,0.03141,0.03141,0.03141,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,318.2,101.325,1036.6793999999998,3.147,0.14066556081718973,0.004068942293855797,0.01875,0.01,0.14066556081718973,5,,0.03147,0.03147,0.03147,0.03147,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,328.2,101.325,1022.8686666666667,3.1489999999999996,0.40544461191804876,0.00408248290463863,0.008333333333333333,0.01,0.40544461191804876,3,,0.03149,0.03149,0.03149,0.03149,1
ethanol,C(C)O,121182-78-3,288.2,101.325,793.8256296296296,25.92,0.3602690392287184,0.00321106495529708,0.08364705882352944,0.05,0.3602690392287184,27,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,293.2,101.325,789.6069516129033,25.12,0.7915716971434987,3.533983821997944e-05,0.11824157826086948,0.05,0.7915716971434987,62,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8,0.0,0.05551495339095584,0.07851,0.07851,0.05551495339095584,2,,1.2084,1.2084,1.2084,1.2084,1
ethanol,C(C)O,121182-78-3,298.2,101.325,785.7049047619051,24.35,5.777672468940279,9.86570452990461e-05,0.33841179133858273,0.04,5.777672468940279,210,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,303.2,101.325,781.2996451612905,23.735,1.2533808717745325,4.995611061591107e-05,0.13851891224489787,0.05,1.2533808717745325,62,0.1909188309203688,0.02766996381554372,0.050805,0.050805,0.1909188309203688,2
ethanol,C(C)O,121182-78-3,308.2,101.325,776.8358793103447,22.87,1.4089965706330203,0.0024213721895716554,0.21534638809523804,0.05,1.4089965706330203,58,,0.03,0.03,0.03,0.03,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
ethylene glycol,C(CO)O,37221-95-7,303.2,101.325,1106.15785,39.84,0.9489444703957414,0.0042678642104760954,0.13775384615384617,0.05,0.9489444703957414,20,,0.11952,0.11952,0.11952,0.11952,1
formamide,C(=O)N,23296-41-5,303.2,101.325,1124.874,106.14,0.3184022612985144,0.00894141111609582,0.2575,0.26,0.3184022612985144,5,0.0,0.22515694126542046,0.31842,0.31842,0.22515694126542046,2
glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.00825,41.17,0.40316115470946784,0.035112344158839175,0.13333333333333333,0.05,0.40316115470946784,4,0.0,0.08733475854435048,0.12351,0.12351,0.08733475854435048,2
methanol,CO,54841-71-3,288.2,101.325,796.0376363636362,34.62,0.3234360973838959,0.0005587011316789145,0.025294117647058825,0.01,0.3234360973838959,22,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,293.2,101.325,791.2937962962963,33.6,0.8861730820256001,0.0006228773354008045,0.08256008205128197,0.05,0.8861730820256001,54,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,298.0,101.325,787.0,33.1,,,,,,1,,1.7543,1.7543,1.7543,1.7543,1
methanol,CO,54841-71-3,298.2,101.325,787.0841830985916,32.6,6.9120508668625575,4.4548432913150004e-05,0.4005401790697674,0.05,6.9120508668625575,142,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,303.2,101.325,782.0282631578949,31.65,0.41248504415814685,0.0005944450431901002,0.14270538478260864,0.05,0.41248504415814685,57,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,308.2,101.325,777.0549599999999,30.72,1.1457714264340138,0.0005471938715902389,0.21090173902439016,0.05,1.1457714264340138,50,,0.03,0.03,0.03,0.03,1
methyl sulfoxide,C[S](=O)C,164071-41-4,293.2,101.325,1099.8788666666667,47.09,2.0579158273313856,0.002119726378695974,0.09557142857142856,0.02,2.0579158273313856,15,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,303.2,101.325,1090.7526333333333,45.94,0.7252634471805592,4.998421762030641e-05,0.053846800000000014,0.05,0.7252634471805592,30,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,313.2,101.325,1080.58655,44.64,0.5486308772514588,4.999182063640253e-05,0.04638473684210528,0.03,0.5486308772514588,20,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,323.2,101.325,1070.2973,43.31,0.2864371367917331,4.999487578783416e-05,0.03250625,0.05,0.2864371367917331,10,,0.05,0.05,0.05,0.05,1
methylaniline,CNC1=CC=CC=C1,100-61-8,300.2,101.325,979.8,5.877999999999999,,0.1,0.1,0.1,0.1,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,278.2,101.325,913.925,5.761,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,280.6,101.325,911.466,5.705,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,283.2,101.325,908.9910000000001,5.651,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,285.6,101.325,906.513,5.591,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,288.2,101.325,903.7453333333333,5.531000000000001,0.2517247173666481,0.018569533817705187,0.035,0.035,0.2517247173666481,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,290.6,101.325,901.556,5.468,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,293.2,101.325,898.924,5.417999999999999,0.12817175976007716,0.018569533817705187,0.035,0.035,0.12817175976007716,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,295.6,101.325,896.585,5.364,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,298.2,101.325,894.0709999999999,5.31,0.06208864630508887,0.004975185951049945,0.0275,0.0275,0.06208864630508887,5,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,300.6,101.325,891.605,5.263999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,303.2,101.325,889.25275,5.205,0.11802648007961648,0.018569533817705187,0.035,0.035,0.11802648007961648,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,305.6,101.325,886.6110000000001,5.141,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,308.2,101.325,884.4277500000001,5.0760000000000005,0.23125797283546573,0.018569533817705187,0.035,0.035,0.23125797283546573,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,310.6,101.325,881.6080000000001,5.015,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,313.2,101.325,879.44925,4.961,0.4644375630803242,0.018569533817705187,0.035,0.035,0.4644375630803242,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,315.6,101.325,876.582,4.901,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,318.2,101.325,874.7556666666666,4.841,0.5964028280729252,0.018569533817705187,0.035,0.035,0.5964028280729252,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,320.6,101.325,871.546,4.784,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,323.2,101.325,869.0189999999999,4.725,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,325.6,101.325,866.488,4.667,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,328.2,101.325,863.951,4.614,,0.05,0.05,0.05,0.05,1,,,,,,1
n-heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94,0.17604807035841563,0.0031972841723961567,0.037,0.025,0.17604807035841563,13,,0.0194,0.0194,0.0194,0.0194,1
n-heptane,CCCCCCC,142-82-5,298.2,101.325,680.0209770114942,1.93,1.9125085558526496,0.0019405850609859174,0.2932857142857143,0.05,1.9125085558526496,87,,0.0193,0.0193,0.0193,0.0193,1
n-heptane,CCCCCCC,142-82-5,308.2,101.325,671.0232500000001,1.92,0.20927353641468127,0.003012679625911544,0.04916666666666668,0.05,0.20927353641468127,24,,0.0192,0.0192,0.0192,0.0192,1
n-nonane,CCCCCCCCC,111-84-2,288.2,101.325,721.6304999999999,1.993,0.16901331308505727,0.004535573676110727,0.019000000000000003,0.02,0.16901331308505727,6,,0.01993,0.01993,0.01993,0.01993,1
n-nonane,CCCCCCCCC,111-84-2,298.2,101.325,713.9813214285714,1.98,0.23031283934737853,0.004210055253551742,0.057214285714285724,0.03,0.23031283934737853,28,,0.0198,0.0198,0.0198,0.0198,1
n-nonane,CCCCCCCCC,111-84-2,308.2,101.325,706.3634444444444,1.966,0.5526633494069978,0.004535573676110727,0.019000000000000003,0.02,0.5526633494069978,9,,0.01966,0.01966,0.01966,0.01966,1
n-nonane,CCCCCCCCC,111-84-2,318.2,101.325,698.0982222222223,1.953,0.10096258933112826,0.004423258684646914,0.01916666666666667,0.02,0.10096258933112826,9,,0.019530000000000002,0.019530000000000002,0.019530000000000002,0.019530000000000002,1
n-nonane,CCCCCCCCC,111-84-2,328.2,101.325,690.194375,1.94,0.13031383820826561,0.004423258684646914,0.01916666666666667,0.02,0.13031383820826561,8,,0.0194,0.0194,0.0194,0.0194,1
n-octane,CCCCCCCC,31372-91-5,288.2,101.325,706.588,1.975,0.1636154026978885,4.9999999999861104e-08,0.020000016666666665,0.03,0.1636154026978885,5,,0.05925,0.05925,0.05925,0.05925,1
n-octane,CCCCCCCC,31372-91-5,293.2,101.325,702.9239,1.9680000000000002,1.2353635689012328,4.999999999974166e-08,0.031666675,0.03,1.2353635689012328,20,0.0,0.04174758436125377,0.059039999999999995,0.059039999999999995,0.04174758436125377,2
n-octane,CCCCCCCC,31372-91-5,298.2,101.325,698.7554821428573,1.9609999999999999,1.1097458348005496,4.999999998297005e-08,0.46485237875,0.03,1.1097458348005496,56,0.0,0.04159909193720459,0.05882999999999999,0.05882999999999999,0.04159909193720459,2
n-octane,CCCCCCCC,31372-91-5,303.2,101.325,694.5118181818182,1.954,0.5959362890494778,4.99999999840889e-08,0.067045709,0.04,0.5959362890494778,22,0.0,0.04145059951315542,0.058620000000000005,0.058620000000000005,0.04145059951315542,2
n-octane,CCCCCCCC,31372-91-5,308.2,101.325,690.4316923076924,1.9469999999999998,0.09320889139933956,4.999999998369515e-08,0.058045709000000015,0.025,0.09320889139933956,13,,0.058410000000000004,0.058410000000000004,0.058410000000000004,0.058410000000000004,1
propan-1-ol,C(CC)O,71-23-8,288.2,101.325,807.9253684210527,21.87,0.7289698370932634,0.0006781140874595014,0.04087500000000001,0.01,0.7289698370932634,19,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,293.2,101.325,803.6610588235295,21.15,1.251749725971863,3.532465322385257e-05,0.11477768918918911,0.05,1.251749725971863,51,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,298.0,101.325,799.3333333333334,21.3,0.28867513459480465,0.05653318715586447,0.07995,0.07995,0.28867513459480465,3,,1.1289,1.1289,1.1289,1.1289,1
propan-1-ol,C(CC)O,71-23-8,298.2,101.325,799.8508970588236,20.45,1.1085246135987425,9.804337495639852e-06,0.08678860555555545,0.035,1.1085246135987425,136,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,300.2,101.325,798.5,20.678,,0.1,0.1,0.1,0.1,1,,,,,,1
propan-1-ol,C(CC)O,71-23-8,303.2,101.325,796.0611851851849,19.78,1.6624338497161184,4.991109647951303e-05,0.14139997209302316,0.05,1.6624338497161184,54,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,308.2,101.325,791.9466046511627,19.13,1.6004840360033883,0.0006712385921595785,0.08426781714285704,0.05,1.6004840360033883,43,,0.03,0.03,0.03,0.03,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,278.2,101.325,939.092,6.794,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,280.6,101.325,936.2489999999999,6.7010000000000005,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,283.2,101.325,933.3889999999999,6.627999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,285.6,101.325,930.5239999999999,6.562,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,288.2,101.325,927.6125,6.489,0.06010407640076168,0.018569533817705187,0.035,0.035,0.06010407640076168,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,290.6,101.325,924.78,6.422000000000001,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,293.2,101.325,921.8294999999999,6.34,0.09828784258485679,0.018569533817705187,0.035,0.035,0.09828784258485679,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,295.6,101.325,919.015,6.279,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,298.2,101.325,916.0903333333334,6.209,0.12779019263362437,0.05,0.05,0.05,0.12779019263362437,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,300.6,101.325,913.2230000000001,6.122999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,303.2,101.325,910.353,6.042999999999999,0.23187712263180635,0.018569533817705187,0.035,0.035,0.23187712263180635,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,305.6,101.325,907.4069999999999,5.98,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,308.2,101.325,904.5723333333334,5.893,0.29442542915534986,0.018569533817705187,0.035,0.035,0.29442542915534986,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,310.6,101.325,901.562,5.817,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,313.2,101.325,898.982,5.742999999999999,0.710388626035036,0.018569533817705187,0.035,0.035,0.710388626035036,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,315.6,101.325,895.683,5.664,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,318.2,101.325,892.721,5.587000000000001,0.015556349186057743,0.018569533817705187,0.035,0.035,0.018569533817705187,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,320.6,101.325,889.7719999999999,5.5120000000000005,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,323.2,101.325,886.802,5.434,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,325.6,101.325,883.823,5.362,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,328.2,101.325,880.8330000000001,5.291,,0.05,0.05,0.05,0.05,1,,,,,,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,293.2,101.325,1270.8,44.5,,0.1,0.1,0.1,0.1,1,,0.89,0.89,0.89,0.89,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,298.2,101.325,1265.2666666666667,44.0,1.30511813003011,0.1,0.1,0.1,1.30511813003011,3,,0.88,0.88,0.88,0.88,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,303.2,101.325,1261.6399999999999,43.4,0.8104936767180859,0.019455536006145465,0.30123640000000007,0.2,0.8104936767180859,9,,0.868,0.868,0.868,0.868,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,308.2,101.325,1256.6999999999998,42.8,1.0392304845412783,0.09290065916620376,0.17552,0.17552,1.0392304845412783,4,,0.856,0.856,0.856,0.856,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,313.2,101.325,1252.4142857142858,42.2,1.3680016708427234,0.08387429054002678,0.36951500000000004,0.22505,1.3680016708427234,7,,0.8440000000000001,0.8440000000000001,0.8440000000000001,0.8440000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,318.2,101.325,1247.25,41.6,2.050609665441052,0.09280445134256593,0.17458,0.17458,2.050609665441052,2,,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.8320000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,323.2,101.325,1243.8366666666666,41.1,1.604315014785664,0.08379886622453084,0.3675145,0.22412,1.604315014785664,6,,0.8220000000000001,0.8220000000000001,0.8220000000000001,0.8220000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,328.2,101.325,1238.6,40.4,2.4041630560342457,0.09271161611291064,0.17369,0.17369,2.4041630560342457,2,,0.8079999999999999,0.8079999999999999,0.8079999999999999,0.8079999999999999,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,303.2,101.325,1118.463,28.11,0.5423160210307119,4.9999949911069054e-05,0.4967396,0.05,0.5423160210307119,7,,0.2811,0.2811,0.2811,0.2811,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,308.2,101.325,1115.3185,27.41,0.07334166619320695,4.9999950000075005e-05,0.03335,0.05,0.07334166619320695,4,,0.2741,0.2741,0.2741,0.2741,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,313.2,101.325,1112.7777142857142,26.73,0.48804566531076077,4.999994991014822e-05,0.4942888,0.05,0.48804566531076077,7,,0.2673,0.2673,0.2673,0.2673,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,318.2,101.325,1109.6927500000002,26.07,0.10248699104442076,4.9999950000075005e-05,0.03335,0.05,0.10248699104442076,4,,0.2607,0.2607,0.2607,0.2607,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,323.2,101.325,1107.1021428571428,25.41,0.39696281461931554,4.999994990920582e-05,0.49181539999999996,0.05,0.39696281461931554,7,,0.2541,0.2541,0.2541,0.2541,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,293.2,101.325,1124.8249999999998,23.69,2.094333625126009,0.019983667647482332,1.2963933333333335,0.5,2.094333625126009,4,,0.02,0.02,0.02,0.02,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,298.2,101.325,1119.8357142857144,23.07,0.38990841415460464,0.008665753614153737,0.8560625,0.027500000000000004,0.38990841415460464,7,,0.02,0.02,0.02,0.02,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,303.2,101.325,1116.1317142857145,22.43,0.44994137184217425,0.013076042827946074,0.22216666666666665,0.11750000000000001,0.44994137184217425,7,,0.02,0.02,0.02,0.02,1
water,O,14314-42-2,275.2,101.325,999.94,86.36,0.0,0.044721359549995794,0.07500000000000001,0.07500000000000001,0.044721359549995794,3,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,277.2,101.325,999.97,85.67,0.0,0.05,0.05,0.05,0.05,2,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,279.2,101.325,999.94,84.84,0.0,0.044721359549995794,0.07500000000000001,0.07500000000000001,0.044721359549995794,3,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,281.2,101.325,999.85,84.25,,0.05,0.05,0.05,0.05,1,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,283.2,101.325,999.7210833333334,83.37,0.07654286776737815,0.0009608151908914266,0.1081,0.07500000000000001,0.07654286776737815,12,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,293.2,101.325,998.4124507042253,79.98,0.5784319885624699,0.0008233130245596813,0.23316666666666683,0.05,0.5784319885624699,71,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,303.2,101.325,995.7007727272726,76.61,0.16848143430744886,0.0008179791467641549,0.16953061224489807,0.05,0.16848143430744886,66,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,305.2,101.325,995.09,75.95,0.0,0.05,0.05,0.05,0.05,2,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,313.2,101.325,992.2432000000002,73.29,0.3044334965902318,0.002793512316331423,0.2741428571428571,0.1,0.3044334965902318,40,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,315.2,101.325,991.4200000000001,72.68,0.15588457268117203,0.025724787771376326,0.04,0.04,0.15588457268117203,3,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,323.2,101.325,988.1302222222222,70.14,0.27743846626612745,0.003451863484306932,0.255,0.135,0.27743846626612745,27,,0.05,0.05,0.05,0.05,1
